RB	En
910.en	Unless we have rules, society will be in chaos.
911.en	Europeans first arrived in the region with the 1502 voyage of Amerigo Vespucci.
912.en	Abandoning the taking of what is not given, he abstains from taking what is not given.
913.en	France adopted the constitution of the Fourth Republic on 13 October 1946.
914.en	This was recognised by the Allied powers at the Congress of Vienna.
915.en	All that inspired the motto of the French Revolution: Freedom, Equality, Brotherhood.
916.en	By this time they only had one horse and one mule remaining.
917.en	Even today she remains one of the most popular singers in Brazil.
918.en	The Third Republic of South Korea began to take an increasingly prominent role in international relations.
919.en	The earliest definite sighting was in 1690, when John Flamsteed observed it at least six times, cataloguing it as 34 Tauri.
920.en	During summer there are often dry winds and dust storms.
921.en	He was known among experts in the field throughout Europe for a multitude of inventions and technological innovations.
922.en	Shortly after Heisenberg published the matrix theory of modern quantum mechanics, Pauli used it to derive the observed spectrum of the hydrogen atom.
923.en	In contrast to Earth, no major lunar mountains are believed to have formed as a result of tectonic events.
924.en	Berenguier does not seem to have had much contact with his fellow troubadours.
925.en	Throughout the first half of the 20th century, the city became a world center for industry, commerce, and communication.
926.en	Nowadays the language is almost extinct.
927.en	The lack of an atmosphere, weather and recent geological processes mean that many of these craters are well-preserved.
928.en	Messier 110 or M110, also known as NGC 205, is a dwarf elliptical galaxy that is a satellite of the Andromeda Galaxy.
929.en	The Golden Lion is the highest prize given to a film at the Venice Film Festival.
930.en	President Bush declared that US–Soviet cooperation during the 1990–1991 Gulf War had laid the groundwork for a partnership in resolving bilateral and world problems.
931.en	Gasimov began singing when he was very young and has taken part in several concerts in various cities of Azerbaijan and Russia.
932.en	Within the city walls lived up to 65,000 people.
933.en	At an onsen, as at a sentō, all guests are expected to wash and rinse themselves thoroughly before entering the hot water.
934.en	As lesbians forged more public identities, the phrase "gay and lesbian" became more common.
935.en	The Italian University of Bologna, for example, allowed women to attend lectures from its inception, in 1088.
936.en	From about the 16th century until 1814, Norway used the same flag as Denmark, as it was in union with that country.
937.en	After the death of his first wife in 1742, he married a Spaniard, Anastasia Maxarti Ximenes.
938.en	This behaviour cost him the sympathies of many of his countrymen.
939.en	It is active at night, hiding in crevices or under rocks during the day.
940.en	As the capital city of Spain, the city has attracted many immigrants from around the world.
941.en	However, the monarch does continue to exercise three rights: the right to be consulted; the right to advise; and the right to warn.
942.en	The main source of light on Earth is the Sun.
943.en	Undigested remains are ejected through the mouth.
944.en	The latter three minority religions are officially recognized and protected, and have reserved seats in the Iran parliament.
945.en	Newton's laws of motion are three physical laws that, together, laid the foundation for classical mechanics.
946.en	Wikimedia Commons (or simply Commons) is an online repository of free-use images, sounds, and other media files.
947.en	He extended Niels Bohr's theory of atomic structure, introducing elliptical orbits, a concept also introduced by Arnold Sommerfeld.
948.en	The physical constant known as the Rydberg constant is named after him, as is the Rydberg unit.
949.en	Individuals such as Leonardo da Vinci sought experimentation as a means of explanation, and opposed arguments from religious authority.
950.en	In this segment, American tourist Donald Duck visits Lake Titicaca and meets some of the locals, including an obstinate llama.
951.en	While in London, Wollstonecraft pursued a relationship with the artist Henry Fuseli, even though he was already married.
952.en	He had committed suicide by taking cyanide.
953.en	Only a member of the race can be a citizen.
954.en	Thousands of tourists from all around the world arrive annually to visit these monuments, contributing greatly to the economy of the modern city.
